0.4313,3.7333,2.8467,8.9094,,,,,
0.4166,3.6667,2.7667,8.9259,,,,,
0.4067,3.7667,2.83,8.6053,,,,,"'M1/PY', 'unemployment', 'i-AAA', 'inflation'"
0.4031,3.8333,2.8233,4.611,,,,,
0.4081,4.6667,2.7067,1.2694,,,,,
0.4147,5.8667,2.7067,-0.4167,,,,,
0.4115,6.7,2.63,-2.7322,,,,,
0.4145,6.9667,2.5967,-2.2039,,,,,
0.4027,6.4,2.5767,-1.532,,,,,
0.3952,5.5667,2.61,-0.4184,,,,,
0.377,4.6333,2.6333,1.9663,,,,,
0.3666,4.2333,2.67,4.3662,,,,,
0.3533,3.5,2.7,9.0523,,,,,
0.3481,3.1,2.9,8.9636,,,,,
0.3456,3.1667,2.8867,7.1625,,,,,
0.3482,3.3667,2.9533,6.6127,,,,,
0.3499,3.0667,2.9567,2.8534,,,,,
0.3516,2.9667,2.9333,2.1851,,,,,
0.3483,3.2333,2.9467,2.8278,,,,,
0.3396,2.8333,2.9867,1.3924,,,,,
0.3354,2.7,3.07,0.6305,,,,,
0.3343,2.5667,3.3233,0.8805,,,,,
0.3357,2.7333,3.27,0.75,,,,,
0.3407,3.7,3.1333,0.8739,,,,,
0.3423,5.2667,2.9567,1.2531,,,,,
0.3426,5.8,2.8767,0.6234,,,,,
0.3411,5.9667,2.8833,0,,,,,
0.3372,5.3333,2.8867,-0.6188,,,,,
0.33,4.7333,2.96,-0.495,,,,,
0.3256,4.4,3.0333,-0.4957,,,,,
0.3203,4.1,3.1,-0.2481,,,,,
0.3157,4.2333,3.1167,0.3736,,,,,
0.3156,4.0333,3.0967,0.2488,,,,,
0.3121,4.2,3.26,0.9963,,,,,
0.3083,4.1333,3.4233,1.99,,,,,
0.3037,4.1333,3.6767,2.4814,,,,,
0.2984,3.9333,3.7,3.4739,,,,,
0.2972,4.1,3.7733,3.5758,,,,,
0.2925,4.2333,4.07,3.4146,,,,,
0.2941,4.9333,3.9967,3.1477,,,,,
0.2989,6.3,3.6067,3.3573,,,,,
0.2994,7.3667,3.58,3.2143,,,,,
0.2937,7.3333,3.87,2.2406,,,,,
0.2892,6.3667,4.0933,1.9953,,,,,
0.2858,5.8333,4.13,0.9281,,,,,
0.2804,5.1,4.3533,0.4614,,,,,
0.2807,5.2667,4.4733,1.1534,,,,,
0.2768,5.6,4.57,1.496,,,,,
0.2675,5.1333,4.5533,1.3793,,,,,
0.266,5.2333,4.4533,1.837,,,,,
0.2645,5.5333,4.3133,1.2543,,,,,
0.2688,6.2667,4.32,1.3605,,,,,
0.2681,6.8,4.27,1.3605,,,,,
0.2645,7,4.2833,0.7892,,,,,
0.261,6.7667,4.4367,1.1261,,,,,
0.2572,6.2,4.41,0.6711,,,,,
0.2528,5.6333,4.41,1.0067,,,,,
0.2514,5.5333,4.2967,1.3423,,,,,
0.2482,5.5667,4.3367,1.2249,,,,,
0.2482,5.5333,4.2567,1.3333,,,,,
0.247,5.7667,4.1967,1.2182,,,,,
